EM code,Sample,Adult,Foetus,Sex,Weight,Species,deername,Date ,Comments,RNAseq samples,
EM028E2020,N/A,1,1,female,24,sika deer,SAC00003247,2021-02-10,,,
EM029E2020,N/A,1,1,female,45,red deer,SAC00003281,2021-02-23,,,
EM030E2020,N/A,1,1,female,36,red deer,SAC00003287,2021-02-26,,,
EM031E2020,N/A,1,1,female,48,red deer,SAC00003253,2021-02-12,,,
EM032E2020,N/A,1,1,female,44,red deer,SAC00003278,2021-02-22,,,
EM033E2020,N/A,1,1,female,30,sika deer,SAC00003246,2021-02-10,,,
EM034E2020,N/A,1,1,female,39,red deer,SAC00003273,2021-02-17,,,
EM035E2020,N/A,1,1,female,39,red deer,SAC00003361,2021-03-16,,,
EM036E2020,N/A,1,1,female,,red deer,SAC00003286,2021-02-26,tag not present - weight unknown,,
EM037E2020,N/A,1,1,female,46,red deer,SAC00003366,2021-03-18,,,
EM038E2020,N/A,1,1,female,37,red deer,SAC00003364,2021-03-17,,,
EM039E2020,N/A,1,1,female,46,red deer,SAC00003274,2021-02-17,,,
EM040E2020,N/A,1,1,female,38,red deer,SAC00003182,2021-01-29,,,
EM041E2020,N/A,1,0,male,59,red/sika deer,SAC00003282,2021-02-25,,,
EM042E2020,N/A,1,0,male,68,red deer,SAC00003271,2021-02-17,,,
EM043E2020,N/A,1,1,female,54,red deer,SAC00003254,2021-02-12,,,
EM044E2020,N/A,1,1,female,48,red deer,SAC00003277,2021-02-22,,,
EM045E2020,N/A,1,0,male,49,red/sika deer,SAC00003374,2021-03-23,,,
EM046E2020,N/A,1,1,female,,sika deer,,2021-03-19,tag not present - NM 914/156,,
EM047E2020,N/A,1,1,female,48,red deer,SAC00003257,2021-02-12,,,
