NCBI GeneID
122673555	TMEM179B	
122673558	UGT8	
122673560	RRH	
122673561	SHISA3	
122673562	TXK	
122673563	TMEM223	
122673564	STPG2	
122673565	SNCA	
122673566	POLR2G	
122673570	TET2	
122673574	HNRNPUL2	
122673577	GABRG1	
122673580	TLR10	
122673581	NPY1R	
122673582	SMIM43	
122673584	GABRA4	
122673585	TKTL2	
122673587	ZBTB3	
122673589	BEND4	
122673590	LRIT3	
122673591	APELA	
122673592	SLIT2	
122673593	FAM13A	
122673594	PCDH7	
122673604	TTC9C	
122673614	BSCL2	
122673623	USP53	
122673624	PDE5A	
122673625	MYOZ2	
122673628	FABP2	
122673629	C17H4orf3	
122673730	LRRN4CL	
122673732	DGKI	
122673737	KLHL7	
122673738	NUP42	
122673739	GNG3	
122673742	CTTNBP2	
122673745	PTPN12	
122673746	UBXN1	
122673749	LAMB1	
122673750	LAMB4	
122673752	PARP12	
122673753	KDM7A	
122673755	RAPGEF5	
122673756	IL6	
122673759	MDFIC	
122673760	CSKMT	
122673763	PEX1	
122673764	RBM48	
122673765	FAM133B	
122673770	NUP205	
122673771	SLC13A4	
122673774	LLCFC1	
122673776	MAGI2	
122673777	C2H11orf98	
122673779	PHTF2	
122673782	SEPTIN7	
122673783	INTS5	
122673784	WIPF3	
122673785	CHN2	
122673786	SCRN1	
122673787	PRR15	
122673790	CUL1	
122673791	GANAB	
122673792	UBE3C	
122673799	VPS50	
122673800	HEPACAM2	
122673801	CDK6	
122673803	DLX5	
122673804	DLX6	
122673805	SEM1	
122673807	COL28A1	
122673808	EML3	
122673809	C1GALT1	
122673812	EXOC4	
122673813	SNX13	
122673815	SEMA3A	
122673817	MTA2	
122673818	SLC25A13	
122673820	COG5	
122673821	HBP1	
122673822	GPR22	
122673823	PRKAR2B	
122673824	DUS4L	
122673829	ROM1	
122673833	RUNDC3B	
122673834	B3GAT3	
122673837	NUB1	
122673838	WDR86	
122673839	TUT1	
122673841	NRF1	
122673842	ICA1	
122673843	EEF1G	
122673846	PALS2	
122673857	FBXL13	
122673861	AHNAK	
122673869	TMED4	
122673870	ANKRD7	
122673876	PAX4	
122673880	STRA8	
122673881	LUZP6	
122673883	WEE2	
122673884	TAS2R5	
122673909	ASRGL1	
122673926	TAS2R39	
122673931	NOBOX	
122673933	ZNF786	
122673936	GIMAP2	
122673938	IQCA1L	
122673953	MYRF	
122673956	GIMAP8	
122673957	ZNF775	
122673960	DNAJB6	
122673961	FAM126A	
122673964	OGDH	
122673965	KMT2C	
122673966	DDB1	
122673967	GALNT11	
122673968	WASL	
122673969	SKAP2	
122673970	DAGLA	
122673972	AHCYL2	
122673976	UBN2	
122673977	VPS41	
122673979	STK17A	
